BG_num,ecc_norm,target_loc,n_fix,scanpath
9,5.0,"[577, 199]",29,"[[313, 313], [247, 199], [280, 142], [214, 256], [379, 313], [346, 370], [478, 370], [412, 484], [379, 85], [445, 85], [82, 142], [181, 541], [247, 541], [313, 541], [280, 598], [610, 256], [511, 199], [478, 256], [379, 199], [214, 142], [115, 313], [16, 370], [346, 484], [577, 313], [214, 142], [511, 541], [577, 199], [577, 199], [577, 199]]"
9,5.0,"[16, 256]",13,"[[313, 313], [478, 256], [445, 199], [346, 142], [214, 370], [247, 427], [445, 199], [610, 256], [148, 256], [82, 256], [16, 256], [16, 256], [16, 256]]"
9,4.0,"[82, 256]",20,"[[313, 313], [181, 427], [346, 256], [511, 313], [412, 142], [478, 256], [148, 256], [247, 199], [478, 484], [346, 484], [412, 484], [280, 598], [115, 541], [49, 427], [577, 199], [148, 484], [280, 370], [82, 256], [82, 256], [82, 256]]"
9,3.0,"[148, 256]",16,"[[313, 313], [412, 256], [511, 199], [478, 256], [478, 256], [544, 256], [445, 313], [148, 370], [181, 313], [247, 541], [280, 142], [148, 142], [313, 85], [148, 256], [148, 256], [148, 256]]"
9,2.0,"[214, 256]",22,"[[313, 313], [214, 256], [346, 370], [445, 199], [478, 256], [445, 85], [412, 142], [346, 28], [412, 28], [148, 370], [148, 484], [511, 313], [478, 484], [214, 370], [280, 598], [412, 598], [49, 199], [544, 370], [610, 370], [214, 256], [214, 256], [214, 256]]"
9,1.0,"[280, 256]",3,"[[313, 313], [280, 256], [280, 256]]"
9,1.0,"[346, 256]",25,"[[313, 313], [280, 484], [280, 370], [379, 541], [478, 484], [115, 427], [346, 142], [511, 199], [478, 142], [445, 85], [379, 199], [379, 199], [445, 313], [445, 313], [214, 142], [214, 142], [280, 598], [346, 28], [181, 541], [346, 598], [115, 427], [214, 256], [214, 370], [346, 256], [346, 256]]"
9,2.0,"[412, 256]",9,"[[313, 313], [247, 427], [379, 313], [346, 484], [247, 541], [511, 313], [412, 256], [412, 256], [412, 256]]"
9,3.0,"[478, 256]",9,"[[313, 313], [247, 313], [115, 313], [313, 427], [16, 256], [412, 256], [346, 142], [478, 256], [478, 256]]"
9,4.0,"[544, 256]",11,"[[313, 313], [412, 256], [445, 199], [346, 142], [478, 370], [247, 427], [115, 199], [577, 313], [544, 256], [544, 256], [544, 256]]"
9,5.0,"[610, 256]",18,"[[313, 313], [313, 199], [181, 199], [49, 199], [214, 484], [313, 541], [412, 370], [16, 370], [478, 256], [478, 256], [544, 484], [280, 28], [214, 28], [49, 427], [346, 598], [610, 256], [610, 256], [610, 256]]"
9,5.0,"[49, 313]",12,"[[313, 313], [280, 484], [379, 541], [181, 541], [511, 427], [115, 313], [82, 370], [148, 370], [82, 256], [115, 199], [49, 313], [49, 313]]"
9,4.0,"[115, 313]",14,"[[313, 313], [82, 256], [181, 313], [379, 427], [313, 427], [313, 427], [214, 484], [313, 427], [379, 541], [115, 199], [148, 256], [115, 313], [115, 313], [115, 313]]"
9,3.0,"[181, 313]",5,"[[313, 313], [214, 256], [214, 256], [181, 313], [181, 313]]"
9,2.0,"[247, 313]",4,"[[313, 313], [280, 256], [247, 313], [247, 313]]"
9,2.0,"[379, 313]",4,"[[313, 313], [379, 313], [379, 313], [379, 313]]"
9,3.0,"[445, 313]",20,"[[313, 313], [313, 427], [346, 484], [214, 370], [148, 484], [49, 427], [379, 427], [247, 199], [379, 85], [478, 256], [544, 256], [610, 370], [148, 256], [49, 313], [148, 370], [346, 598], [511, 313], [445, 313], [445, 313], [445, 313]]"
9,4.0,"[511, 313]",4,"[[313, 313], [412, 256], [511, 313], [511, 313]]"
9,5.0,"[577, 313]",32,"[[313, 313], [214, 256], [148, 256], [478, 256], [346, 484], [313, 85], [280, 28], [181, 541], [49, 199], [82, 256], [478, 370], [577, 427], [478, 142], [49, 427], [115, 427], [16, 370], [82, 370], [247, 541], [280, 598], [280, 142], [511, 199], [412, 28], [577, 427], [181, 85], [181, 85], [445, 85], [445, 199], [577, 313], [577, 313], [577, 313], [577, 313], [577, 313]]"
9,5.0,"[16, 370]",37,"[[313, 313], [280, 370], [379, 199], [280, 142], [313, 199], [445, 85], [148, 484], [181, 85], [214, 28], [82, 256], [82, 256], [115, 199], [115, 427], [214, 370], [478, 484], [478, 370], [577, 199], [544, 142], [511, 199], [544, 256], [247, 541], [280, 598], [214, 598], [214, 598], [412, 484], [379, 541], [412, 598], [445, 427], [379, 427], [148, 484], [214, 256], [115, 85], [82, 256], [577, 427], [16, 370], [16, 370], [16, 370]]"
9,4.0,"[82, 370]",6,"[[313, 313], [379, 427], [148, 142], [49, 313], [82, 370], [82, 370]]"
9,3.0,"[148, 370]",21,"[[313, 313], [346, 370], [346, 484], [412, 370], [82, 370], [82, 484], [148, 484], [181, 541], [181, 427], [445, 541], [313, 541], [577, 199], [544, 142], [313, 85], [379, 85], [412, 142], [412, 28], [280, 28], [82, 370], [148, 370], [148, 370]]"
9,2.0,"[214, 370]",4,"[[313, 313], [247, 313], [214, 370], [214, 370]]"
9,1.0,"[280, 370]",13,"[[313, 313], [313, 427], [577, 313], [82, 370], [16, 370], [49, 313], [577, 199], [412, 484], [379, 541], [214, 484], [280, 370], [280, 370], [280, 370]]"
9,1.0,"[346, 370]",10,"[[313, 313], [247, 313], [280, 142], [247, 85], [313, 199], [445, 199], [280, 484], [346, 370], [346, 370], [346, 370]]"
9,2.0,"[412, 370]",5,"[[313, 313], [313, 199], [412, 370], [412, 370], [412, 370]]"
9,3.0,"[478, 370]",14,"[[313, 313], [412, 370], [478, 370], [115, 313], [214, 370], [16, 256], [49, 427], [82, 484], [247, 427], [511, 313], [544, 370], [478, 370], [478, 370], [478, 370]]"
9,4.0,"[544, 370]",14,"[[313, 313], [379, 313], [478, 256], [511, 313], [148, 484], [214, 484], [181, 541], [115, 541], [115, 427], [148, 370], [280, 598], [577, 313], [544, 370], [544, 370]]"
9,5.0,"[610, 370]",24,"[[313, 313], [247, 427], [412, 370], [247, 199], [115, 313], [313, 85], [280, 28], [280, 28], [445, 85], [412, 142], [313, 541], [115, 541], [82, 484], [412, 142], [280, 142], [610, 256], [511, 541], [511, 541], [115, 85], [511, 313], [610, 370], [610, 370], [610, 370], [610, 370]]"
9,5.0,"[49, 427]",18,"[[313, 313], [280, 370], [247, 199], [346, 484], [379, 427], [478, 484], [214, 484], [148, 370], [511, 313], [544, 256], [544, 370], [115, 199], [511, 199], [577, 313], [346, 28], [16, 370], [49, 427], [49, 427]]"
9,4.0,"[115, 427]",21,"[[313, 313], [280, 142], [346, 28], [445, 85], [478, 256], [82, 484], [214, 598], [379, 541], [181, 85], [82, 370], [577, 427], [511, 313], [577, 313], [544, 370], [412, 484], [346, 256], [511, 85], [181, 541], [181, 427], [115, 427], [115, 427]]"
9,3.0,"[181, 427]",8,"[[313, 313], [214, 256], [313, 427], [412, 370], [511, 313], [214, 370], [181, 427], [181, 427]]"
9,2.0,"[247, 427]",48,"[[313, 313], [214, 370], [214, 370], [82, 370], [82, 484], [247, 199], [379, 199], [280, 28], [313, 85], [445, 541], [478, 484], [511, 85], [544, 484], [412, 484], [49, 199], [49, 199], [148, 142], [412, 598], [346, 598], [544, 256], [610, 370], [181, 313], [214, 256], [148, 484], [214, 598], [577, 427], [412, 370], [577, 427], [346, 142], [313, 85], [280, 370], [445, 85], [445, 199], [478, 256], [511, 199], [478, 256], [478, 370], [610, 256], [346, 370], [412, 28], [379, 427], [82, 256], [610, 256], [478, 370], [214, 28], [16, 256], [247, 427], [247, 427]]"
9,2.0,"[313, 427]",6,"[[313, 313], [346, 256], [280, 484], [313, 427], [313, 427], [313, 427]]"
9,2.0,"[379, 427]",7,"[[313, 313], [346, 256], [346, 142], [412, 28], [346, 370], [379, 427], [379, 427]]"
9,3.0,"[445, 427]",15,"[[313, 313], [181, 313], [82, 256], [115, 199], [214, 142], [247, 199], [181, 541], [313, 541], [247, 541], [313, 541], [379, 427], [445, 313], [478, 484], [445, 427], [445, 427]]"
9,4.0,"[511, 427]",5,"[[313, 313], [346, 370], [478, 370], [511, 427], [511, 427]]"
9,5.0,"[577, 427]",35,"[[313, 313], [313, 199], [478, 256], [181, 427], [181, 313], [280, 484], [247, 541], [379, 541], [115, 427], [412, 28], [214, 142], [313, 85], [610, 370], [148, 484], [115, 541], [181, 313], [181, 85], [511, 541], [511, 85], [577, 199], [544, 370], [511, 313], [346, 142], [346, 256], [346, 256], [16, 256], [181, 199], [412, 370], [445, 541], [478, 484], [346, 484], [214, 484], [511, 427], [577, 427], [577, 427]]"
9,5.0,"[82, 484]",20,"[[313, 313], [181, 199], [214, 142], [346, 256], [445, 313], [247, 199], [445, 427], [445, 541], [412, 484], [511, 313], [214, 484], [247, 541], [445, 427], [610, 370], [478, 142], [445, 85], [82, 484], [82, 484], [82, 484], [82, 484]]"
9,4.0,"[148, 484]",22,"[[313, 313], [346, 370], [313, 199], [346, 142], [181, 199], [148, 256], [247, 85], [544, 370], [247, 541], [115, 427], [577, 313], [445, 541], [214, 484], [181, 313], [445, 199], [379, 199], [379, 199], [544, 142], [445, 85], [412, 28], [148, 484], [148, 484]]"
9,3.0,"[214, 484]",22,"[[313, 313], [346, 370], [214, 370], [247, 199], [313, 541], [544, 256], [511, 199], [577, 199], [478, 142], [346, 28], [280, 256], [544, 484], [511, 85], [115, 199], [181, 313], [148, 370], [82, 370], [181, 313], [346, 484], [346, 142], [214, 484], [214, 484]]"
